PipeFittingID;Standard;MaterialID;PipeFittingname;Model;Type;D1;D2;Series;THK1;THK2;PN;DN;THK;Weight
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;139.7;;Reihe 6;12.5;;;;;7.82
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;139.7;;Reihe 7;16;;;;;9.73
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;139.7;;Reihe 8;20;;;;;11.8
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;168.3;;Reihe 1;4;;;;;3.91
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;168.3;;Reihe 2;4.5;;;;;4.34
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;168.3;;Reihe 3;5.6;;;;;5.36
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;168.3;;Reihe 4;7.1;;;;;6.73
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;168.3;;Reihe 5;11;;;;;10.2
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;168.3;;Reihe 6;14.2;;;;;12.9
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;168.3;;Reihe 7;17.5;;;;;15.1
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;168.3;;Reihe 8;22.2;;;;;19.1
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;21.3;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;21.3;;Reihe 2;2;;;;;0.03
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;21.3;;Reihe 3;2.6;;;;;0.03
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;21.3;;Reihe 4;3.2;;;;;0.04
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;21.3;;Reihe 5;4;;;;;0.05
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;21.3;;Reihe 6;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;21.3;;Reihe 7;5;;;;;0.06
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;21.3;;Reihe 8;7.1;;;;;0.12
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;219.1;;Reihe 1;4.5;;;;;7.68
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;219.1;;Reihe 2;6.3;;;;;10.5
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;219.1;;Reihe 3;7.1;;;;;11.8
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;219.1;;Reihe 4;8;;;;;13.3
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;219.1;;Reihe 5;12.5;;;;;20.3
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;219.1;;Reihe 6;16;;;;;25.5
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;219.1;;Reihe 7;17.5;;;;;27.7
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;219.1;;Reihe 8;22.2;;;;;34.4
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;26.9;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;26.9;;Reihe 2;2.3;;;;;0.05
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;26.9;;Reihe 3;2.6;;;;;0.06
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;26.9;;Reihe 4;3.2;;;;;0.07
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;26.9;;Reihe 5;4;;;;;0.09
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;26.9;;Reihe 6;4.5;;;;;0.1
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;26.9;;Reihe 7;5.6;;;;;0.12
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;26.9;;Reihe 8;8;;;;;0.15
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;273;;Reihe 1;5;;;;;13.4
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;273;;Reihe 2;6.3;;;;;16.5
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;273;;Reihe 3;8.8;;;;;22.9
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;273;;Reihe 4;10;;;;;25.9
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;273;;Reihe 5;12.5;;;;;32
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;273;;Reihe 6;16;;;;;40.4
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;273;;Reihe 7;22.2;;;;;54.8
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;273;;Reihe 8;30;;;;;71.7
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;323.9;;Reihe 1;5.6;;;;;21.5
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;323.9;;Reihe 2;7.1;;;;;26.6
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;323.9;;Reihe 3;8.8;;;;;32.7
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;323.9;;Reihe 4;10;;;;;37.1
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;323.9;;Reihe 5;12.5;;;;;46
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;323.9;;Reihe 6;17.5;;;;;63.3
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;323.9;;Reihe 7;25;;;;;88.2
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;323.9;;Reihe 8;32;;;;;110
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;33.7;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;33.7;;Reihe 2;2.6;;;;;0.08
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;33.7;;Reihe 3;3.2;;;;;0.09
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;33.7;;Reihe 4;4;;;;;0.12
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;33.7;;Reihe 5;4.5;;;;;0.13
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;33.7;;Reihe 6;5.6;;;;;0.15
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;33.7;;Reihe 7;6.3;;;;;0.17
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;33.7;;Reihe 8;8.8;;;;;0.21
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;355.6;;Reihe 1;5.6;;;;;27.6
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;355.6;;Reihe 2;8;;;;;38.3
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;355.6;;Reihe 3;10;;;;;47.6
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;355.6;;Reihe 4;12.5;;;;;59.1
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;355.6;;Reihe 5;16;;;;;74.9
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;355.6;;Reihe 6;20;;;;;92.5
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;355.6;;Reihe 7;28;;;;;126
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;355.6;;Reihe 8;36;;;;;159
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;406.4;;Reihe 1;6.3;;;;;40.5
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;406.4;;Reihe 2;8.8;;;;;55
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;406.4;;Reihe 3;10;;;;;62.3
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;406.4;;Reihe 4;12.5;;;;;77.1
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;406.4;;Reihe 5;17.5;;;;;107
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;406.4;;Reihe 6;22.2;;;;;134
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;406.4;;Reihe 7;30;;;;;177
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;406.4;;Reihe 8;40;;;;;230
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;42.4;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;42.4;;Reihe 2;2.6;;;;;0.13
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;42.4;;Reihe 3;3.6;;;;;0.15
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;42.4;;Reihe 4;4;;;;;0.17
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;42.4;;Reihe 5;5;;;;;0.19
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;42.4;;Reihe 6;6.3;;;;;0.28
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;42.4;;Reihe 7;8;;;;;0.34
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;42.4;;Reihe 8;10;;;;;0.4
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;457;;Reihe 1;6.3;;;;;51.4
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;457;;Reihe 2;10;;;;;78.9
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;457;;Reihe 3;11;;;;;86.8
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;457;;Reihe 4;12.5;;;;;98.3
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;457;;Reihe 5;17.5;;;;;136
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;457;;Reihe 6;22.2;;;;;171
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;457;;Reihe 7;32;;;;;241
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;457;;Reihe 8;45;;;;;328
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;48.3;;Reihe 1;;;;;;
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;48.3;;Reihe 2;2.6;;;;;0.17
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;48.3;;Reihe 3;3.6;;;;;0.24
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;48.3;;Reihe 4;4;;;;;0.26
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;48.3;;Reihe 5;5;;;;;0.32
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;48.3;;Reihe 6;6.3;;;;;0.39
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;48.3;;Reihe 7;8;;;;;0.48
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;48.3;;Reihe 8;10;;;;;0.56
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;508;;Reihe 1;6.3;;;;;63.6
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;508;;Reihe 2;10;;;;;97.9
2010;DIN EN 10253-2;N;Rohrbogen 90°;2D;A;508;;Reihe 3;11;;;;;108
